PDB_ID,Vina_Score
3kl6,-9.4
2jkh,-9.2
3rm2,-8.8
2y5f,-8.7
3si4,-8.1
2bvr,-8.0
2g8t,-7.6
3gy2,-7.2
2g5n,-6.7
